iter        ES          Enzyme      Product     Substrate   total       
0           0           122         0           378         500         
1           0           122         0           378         500         
2           1           121         0           377         499         
3           1           121         0           377         499         
4           1           121         0           377         499         
5           2           120         0           376         498         
6           3           119         0           375         497         
7           4           118         0           374         496         
8           5           117         0           373         495         
9           5           117         0           373         495         
10          8           114         0           370         492         
11          9           113         0           369         491         
12          10          112         0           368         490         
13          10          112         0           368         490         
14          9           113         1           368         491         
15          9           113         1           368         491         
16          9           113         1           368         491         
17          10          112         1           367         490         
18          12          110         1           365         488         
19          13          109         1           364         487         
20          12          110         2           364         488         
21          13          109         2           363         487         
22          16          106         2           360         484         
23          15          107         2           361         485         
24          17          105         2           359         483         
25          17          105         2           359         483         
26          19          103         2           357         481         
27          19          103         2           357         481         
28          20          102         2           356         480         
29          21          101         3           354         479         
30          21          101         3           354         479         
31          22          100         4           352         478         
32          22          100         4           352         478         
33          20          102         4           354         480         
34          23          99          4           351         477         
35          22          100         5           351         478         
36          23          99          5           350         477         
37          24          98          5           349         476         
38          24          98          5           349         476         
39          25          97          6           347         475         
40          26          96          6           346         474         
41          27          95          6           345         473         
42          27          95          6           345         473         
43          29          93          6           343         471         
44          30          92          6           342         470         
45          31          91          6           341         469         
46          31          91          6           341         469         
47          31          91          6           341         469         
48          30          92          7           341         470         
49          30          92          7           341         470         
50          29          93          7           342         471         
51          29          93          7           342         471         
52          30          92          7           341         470         
53          31          91          7           340         469         
54          33          89          7           338         467         
55          33          89          7           338         467         
56          33          89          7           338         467         
57          32          90          8           338         468         
58          33          89          8           337         467         
59          33          89          9           336         467         
60          34          88          9           335         466         
61          33          89          10          335         467         
62          33          89          10          335         467         
63          34          88          10          334         466         
64          33          89          11          334         467         
65          32          90          12          334         468         
66          32          90          12          334         468         
67          32          90          12          334         468         
68          32          90          12          334         468         
69          31          91          13          334         469         
70          30          92          13          335         470         
71          30          92          13          335         470         
72          30          92          13          335         470         
73          30          92          13          335         470         
74          31          91          14          333         469         
75          31          91          14          333         469         
76          31          91          14          333         469         
77          30          92          15          333         470         
78          31          91          15          332         469         
79          31          91          15          332         469         
80          31          91          15          332         469         
81          31          91          15          332         469         
82          32          90          15          331         468         
83          32          90          15          331         468         
84          30          92          17          331         470         
85          30          92          17          331         470         
86          31          91          17          330         469         
87          31          91          18          329         469         
88          30          92          18          330         470         
89          31          91          18          329         469         
90          31          91          18          329         469         
91          31          91          18          329         469         
92          31          91          18          329         469         
93          31          91          18          329         469         
94          31          91          18          329         469         
95          32          90          18          328         468         
96          31          91          19          328         469         
97          31          91          19          328         469         
98          33          89          19          326         467         
99          32          90          20          326         468         
100         33          89          20          325         467         
