type        x           y           dx_actual   dy_actual   dx_ideal    dy_ideal    collisions  
Substrate   0           35          2           16          1           15          4           
Substrate   0           79          -11         -3          -6          -4          10          
Substrate   0           98          -8          11          -8          10          7           
Substrate   0           125         0           -11         -1          -12         11          
Substrate   1           17          -25         4           -23         2           10          
Substrate   1           20          12          1           20          3           9           
Substrate   1           47          11          -1          15          5           16          
Substrate   1           69          9           -3          6           1           7           
Substrate   1           78          7           9           5           5           9           
Product     1           108         -5          9           -8          9           3           
Substrate   1           110         -7          -4          -9          -2          11          
Substrate   1           112         -4          3           -3          9           20          
Substrate   1           115         -3          -13         -5          -14         9           
Substrate   1           116         -8          -8          -10         -6          17          
ES          2           34          5           -10         1           -7          10          
Substrate   2           66          -4          2           -6          -2          12          
Enzyme      2           106         -6          4           -2          4           14          
Substrate   2           120         -9          7           -8          6           8           
ES          2           126         8           -3          8           -2          9           
Substrate   3           16          3           14          4           12          7           
Substrate   3           61          -10         -1          -4          -1          10          
Substrate   3           79          -12         12          -8          11          11          
Substrate   3           98          -15         1           -14         4           13          
Enzyme      3           112         -12         8           -9          8           16          
ES          3           127         3           11          4           11          4           
ES          4           5           0           -12         6           -14         14          
Substrate   4           15          2           3           0           3           11          
Substrate   4           36          5           10          0           13          12          
Substrate   4           41          1           4           1           -1          14          
Enzyme      5           17          -3          -4          -3          -4          13          
Enzyme      5           19          -4          0           -2          3           17          
Substrate   5           31          0           13          -3          18          11          
ES          5           33          -8          3           -6          0           13          
Substrate   5           54          -9          11          -7          11          10          
Substrate   5           75          4           -1          4           -1          0           
ES          5           97          -3          -2          0           -3          7           
Substrate   5           127         -5          8           -4          5           15          
Substrate   6           21          13          4           16          7           12          
Substrate   6           40          7           6           8           6           6           
Substrate   6           57          4           -2          8           -2          16          
Substrate   6           72          -1          6           -2          4           9           
Substrate   6           95          9           -18         10          -20         14          
Enzyme      6           114         -5          -2          -4          0           3           
Substrate   7           21          11          -9          14          -11         11          
ES          7           47          -6          1           -5          1           7           
Enzyme      7           52          0           2           -7          0           12          
Substrate   7           61          -1          -2          3           0           12          
ES          7           62          -9          7           -9          3           11          
Enzyme      7           74          -2          -4          -2          -5          1           
Enzyme      7           94          0           -6          -2          -5          16          
Substrate   8           48          2           -2          4           -3          4           
Substrate   8           65          7           7           2           6           7           
Enzyme      8           69          0           1           1           1           1           
Substrate   8           83          -4          -5          -4          -1          11          
ES          8           118         -6          -2          -8          -1          2           
Enzyme      8           122         4           2           3           2           20          
Substrate   9           40          -21         -6          -27         -7          8           
Enzyme      9           69          -7          -4          -8          -5          8           
Substrate   9           71          11          8           13          2           17          
Enzyme      9           79          -3          -2          -8          -2          13          
ES          9           95          -5          5           -3          4           11          
Substrate   10          32          5           -1          6           1           11          
Substrate   10          40          9           12          8           12          15          
Substrate   10          48          5           7           7           12          10          
Substrate   10          73          10          11          8           10          12          
Substrate   10          75          -3          1           -7          -4          15          
Enzyme      10          86          -6          0           -6          1           1           
Substrate   10          94          0           0           2           -1          9           
Substrate   10          116         -19         21          -20         23          12          
Substrate   11          1           0           -9          -3          -11         8           
Product     11          11          -3          -14         -4          -14         7           
Substrate   11          15          6           -16         7           -22         12          
Substrate   11          38          -3          -1          -8          0           18          
Substrate   11          44          1           -12         1           -19         9           
Substrate   11          70          6           1           6           1           4           
Enzyme      11          80          -11         1           -12         2           8           
Substrate   11          90          -9          0           -14         0           12          
Substrate   11          117         4           6           2           7           12          
Substrate   11          119         4           -18         5           -23         9           
Substrate   12          22          -10         7           -7          7           10          
Substrate   12          72          -4          -5          -3          -2          15          
Substrate   12          113         -10         -9          -13         -8          11          
Substrate   13          25          -6          3           -8          3           12          
Substrate   13          39          0           -3          -4          -7          16          
Enzyme      13          78          0           16          4           15          9           
Substrate   13          91          1           6           3           5           7           
Substrate   13          109         3           -3          3           -3          14          
Substrate   14          42          -5          -3          -6          -3          14          
Substrate   14          53          -3          9           -9          11          14          
Substrate   14          97          0           3           2           -2          16          
Substrate   14          116         8           13          5           12          10          
Substrate   15          1           3           0           6           2           7           
Substrate   15          25          -4          -14         -8          -17         15          
Substrate   15          75          -12         -11         -9          -12         16          
Substrate   15          111         6           -10         11          -9          11          
Substrate   16          8           7           5           9           4           11          
Substrate   16          22          5           -20         4           -25         15          
Substrate   16          40          -4          -3          -6          -2          7           
Substrate   16          49          -5          -3          -5          1           14          
Substrate   17          32          -8          -10         -7          -15         11          
Substrate   17          42          7           -10         3           -7          15          
Product     18          8           4           -6          4           -5          3           
Substrate   18          12          7           1           12          -1          10          
Product     18          39          3           -4          4           -1          6           
Substrate   18          58          -2          6           1           3           13          
Substrate   18          82          10          -9          14          -11         18          
Product     18          106         9           14          11          14          11          
Enzyme      18          115         -3          12          -2          13          7           
Substrate   19          21          7           1           4           -3          11          
Substrate   19          48          10          -2          11          -2          8           
Substrate   19          115         -5          5           -5          2           12          
Substrate   19          118         18          3           11          0           13          
Enzyme      20          24          -7          4           -8          7           7           
Substrate   20          42          1           2           3           4           9           
ES          20          96          0           21          -5          18          19          
Enzyme      20          109         3           2           9           4           17          
Enzyme      21          44          5           -7          6           -7          3           
Substrate   21          82          -1          10          -2          7           10          
Substrate   22          54          -5          10          -3          7           10          
Product     22          64          1           4           1           7           12          
Product     22          99          -2          6           0           4           13          
Substrate   22          100         2           -4          1           -5          8           
Enzyme      22          109         0           0           -6          4           18          
Substrate   22          118         -11         14          -10         14          10          
Substrate   23          1           -2          9           2           8           12          
Substrate   23          84          -5          -8          -1          -10         11          
Substrate   24          4           4           0           3           3           12          
Substrate   24          12          2           -1          7           0           14          
Substrate   24          30          -12         0           -17         -1          17          
Substrate   24          107         -16         -6          -20         -5          8           
Substrate   24          110         -10         13          -7          18          14          
ES          24          116         3           0           -1          -1          10          
Substrate   24          119         3           3           3           3           11          
