iter        A           B           C           D           total       
0           88          62          0           0           150         
8           87          61          1           1           150         
16          86          60          2           2           150         
24          85          59          3           3           150         
32          85          59          3           3           150         
40          83          57          5           5           150         
48          81          55          7           7           150         
56          81          55          7           7           150         
64          81          55          7           7           150         
72          81          55          7           7           150         
80          80          54          8           8           150         
88          79          53          9           9           150         
96          79          53          9           9           150         
