type        dx_actual   dy_actual   dx_ideal    dy_ideal    collisions  
A           14          -5          13          -2          6           
A           4           -9          0           -9          6           
A           21          -6          21          -7          1           
A           0           -5          1           -6          1           
B           -14         18          -14         18          0           
B           9           -2          9           -2          0           
B           0           -3          0           -3          0           
A           13          -5          14          -5          4           
A           -19         14          -18         13          1           
B           7           -1          6           0           1           
B           -2          0           -2          0           0           
B           5           -3          5           -3          0           
A           -3          -8          0           -8          3           
A           -5          7           -6          8           5           
D           -6          -7          -8          -9          3           
B           5           3           7           1           4           
B           0           -3          0           -3          0           
A           2           -15         4           -18         5           
B           3           2           3           2           0           
C           -9          -3          -7          1           7           
B           5           0           4           2           5           
A           -3          -2          -3          -2          0           
B           -15         -4          -15         -4          0           
A           0           -2          0           0           6           
C           4           -3          2           -2          8           
D           0           4           0           3           1           
B           4           -9          4           -9          0           
B           19          -5          16          -8          6           
A           -1          1           -2          -4          7           
C           11          -11         13          -11         2           
B           -2          9           -1          8           1           
B           -12         4           -13         4           1           
B           -16         3           -17         3           1           
A           -1          8           -1          8           0           
A           -13         2           -12         3           1           
D           6           -8          3           -9          5           
B           10          2           10          2           0           
A           -4          -4          -3          -3          1           
A           -5          -1          -4          1           2           
A           11          -6          10          -5          1           
D           -12         7           -10         7           2           
B           0           14          0           14          0           
A           -8          -11         -8          -12         1           
A           0           -13         0           -13         0           
B           -10         -20         -12         -18         4           
C           -6          -2          -8          -4          3           
A           5           -18         6           -18         5           
C           -5          -1          -3          1           8           
A           3           -9          5           -11         3           
A           -3          -8          2           -5          9           
B           13          -10         12          -10         1           
B           2           -10         2           -10         0           
D           -19         13          -23         15          7           
A           -8          -18         -7          -20         2           
B           6           4           6           4           0           
D           0           14          -3          14          6           
B           -16         -14         -15         -14         1           
B           -8          -13         -8          -14         1           
A           5           10          6           11          1           
B           1           21          0           22          1           
B           0           -5          -1          -4          4           
A           4           -14         5           -15         1           
A           13          -9          11          -9          3           
B           1           5           0           4           1           
C           8           32          13          30          5           
A           17          -8          17          -8          0           
A           0           3           3           1           9           
A           -3          -1          0           0           5           
A           3           -5          4           -1          5           
A           8           -4          9           2           8           
B           8           6           8           8           4           
A           17          9           17          9           0           
A           0           6           1           5           4           
A           4           0           4           0           0           
B           0           -12         0           -12         0           
A           -5          -9          -5          -9          0           
A           6           -4          6           -4          0           
B           -2          -10         -2          -10         0           
B           5           -8          6           -7          1           
A           -1          -18         -2          -21         7           
A           -1          23          0           20          3           
B           4           0           3           0           1           
A           1           -1          1           0           1           
B           -3          -5          -2          -7          2           
A           7           2           7           2           0           
A           -4          12          -2          11          2           
B           0           3           0           3           0           
B           1           4           2           5           1           
B           -11         6           -14         11          6           
B           2           2           -5          4           7           
A           0           -4          1           -3          3           
A           -2          12          -2          12          0           
B           -2          12          -2          12          0           
B           10          -8          11          -8          1           
A           2           18          1           18          1           
A           3           7           5           8           4           
B           9           9           10          9           1           
B           8           26          9           26          1           
A           -8          -3          -8          -3          0           
A           9           -6          8           -6          1           
A           8           -18         10          -21         5           
A           -23         0           -23         0           0           
B           -1          -1          1           -1          8           
B           -2          -6          -2          -6          2           
D           -6          0           -5          -1          1           
A           -10         2           -11         3           2           
B           -17         -6          -17         -6          0           
C           7           4           8           5           1           
B           -5          -6          -5          -6          0           
B           0           -3          0           -3          0           
B           -1          7           -1          7           0           
A           7           -9          8           -11         2           
D           2           2           1           2           9           
B           12          -14         13          -13         1           
C           -3          10          -5          8           5           
B           -15         5           -15         5           0           
B           -1          5           -1          5           0           
B           15          3           14          4           1           
A           4           0           4           0           0           
D           -12         5           -13         3           3           
B           7           -13         6           -15         3           
B           10          5           10          5           0           
B           -21         -2          -20         -1          3           
B           -14         -11         -14         -11         0           
A           11          -3          10          -7          4           
B           0           -18         0           -18         0           
A           12          -1          13          -1          3           
A           -1          0           -3          -3          4           
A           -1          -9          -1          -9          0           
A           -7          -10         -6          -11         3           
D           -18         2           -18         2           0           
A           31          2           31          2           0           
B           7           -18         5           -19         3           
A           4           2           4           2           0           
B           4           -2          4           -2          0           
B           11          10          10          10          5           
A           -9          0           -9          0           0           
B           -8          -3          -8          -3          0           
B           0           3           -1          2           6           
B           7           15          8           16          3           
C           9           0           7           2           5           
A           14          -5          12          -6          5           
A           7           -1          7           -1          0           
A           11          14          8           16          9           
C           -4          3           -6          3           2           
B           2           -2          2           -2          0           
B           -4          -12         -5          -15         4           
A           -8          1           -7          2           3           
B           5           -9          5           -9          0           
B           7           10          9           11          4           
